h3_cell,latitude,longitude,bairro_clean
898180208d3ffff,-8.3586413,-35.2357829,nova descoberta
89818020c47ffff,-8.3688312,-35.235919,mangueira
89818020c6bffff,-8.35981923880726,-35.23564040974704,mangueira
89818020c6bffff,-8.359956393880234,-35.23579264675011,mangueira
89818020c6bffff,-8.360016294204748,-35.23599989126371,mangueira
89818020c6bffff,-8.3598815,-35.235705,mangueira
89818020c6bffff,-8.3597192,-35.2355842,mangueira
89818020c6bffff,-8.359439747076406,-35.235328016258244,mangueira
89818020c6bffff,-8.359979877403585,-35.235725817118485,mangueira
89818020c6bffff,-8.360017489142846,-35.23594161251765,mangueira
89818020c6bffff,-8.359450430439052,-35.23533129671785,mangueira
89818020e87ffff,-8.365732984307769,-35.227026530899465,nova descoberta
89818020e87ffff,-8.365977542889038,-35.22711445055314,nova descoberta
89818020e87ffff,-8.3654884257265,-35.22693861124579,nova descoberta
8981806488fffff,-8.1856091,-34.9504722,cajueiro
89818065907ffff,-8.1552174,-34.9094793,boa viagem
89818065923ffff,-8.149268120243516,-34.91272534906557,boa viagem
89818065923ffff,-8.149674547488315,-34.91319784875922,boa viagem
89818065923ffff,-8.149246,-34.9128101,boa viagem
89818065923ffff,-8.149072035472155,-34.9128989526366,boa viagem
89818065923ffff,-8.149139520209225,-34.91280240733898,boa viagem
89818065923ffff,-8.149626788946673,-34.91310701641867,boa viagem
89818065923ffff,-8.148773090133545,-34.91298033000558,boa viagem
89818065923ffff,-8.148950279233617,-34.91339208676531,boa viagem
89818065923ffff,-8.148987659295534,-34.91283022314091,boa viagem
89818065923ffff,-8.149074388412537,-34.912880589844136,boa viagem
89818065923ffff,-8.14912311547542,-34.912904647533814,boa viagem
89818065923ffff,-8.1493041,-34.9121797,boa viagem
89818065923ffff,-8.149519242421642,-34.9127493223663,boa viagem
89818065923ffff,-8.149289547969374,-34.912668902381945,boa viagem
89818065923ffff,-8.149532356374241,-34.91288172881947,boa viagem
89818065923ffff,-8.149347127995892,-34.91252619252849,boa viagem
89818065923ffff,-8.149411332442275,-34.912405422106275,boa viagem
89818065923ffff,-8.149138593504626,-34.9130475255882,boa viagem
89818065923ffff,-8.149073409549713,-34.91296298382471,boa viagem
89818065923ffff,-8.149519192884085,-34.913128566187005,boa viagem
89818065923ffff,-8.149044109178822,-34.91253689365245,boa viagem
89818065923ffff,-8.148732706670044,-34.91251065250479,boa viagem
89818065923ffff,-8.149304677228924,-34.91265489809741,boa viagem
89818065923ffff,-8.149267764770212,-34.912974229928246,boa viagem
89818065923ffff,-8.14936311411334,-34.91282993545488,boa viagem
89818065923ffff,-8.1492130807237,-34.912289351207455,boa viagem
89818065923ffff,-8.14951903403488,-34.91306128834526,boa viagem
89818065923ffff,-8.149038778842534,-34.91318667170486,boa viagem
89818065923ffff,-8.149548823205155,-34.912808971377174,boa viagem
89818065923ffff,-8.149641386001997,-34.91236667950322,boa viagem
89818065923ffff,-8.14958091131976,-34.91264257871867,boa viagem
89818065923ffff,-8.149275393538447,-34.91297218826629,boa viagem
89818065923ffff,-8.149070102973853,-34.91300690309011,boa viagem
89818065923ffff,-8.151436022683965,-34.91199801674674,boa viagem
89818065923ffff,-8.149362809163106,-34.913210111047405,boa viagem
89818065923ffff,-8.149283902689044,-34.91250009305876,boa viagem
89818065923ffff,-8.14894064417666,-34.912975050189125,boa viagem
89818065923ffff,-8.1500838,-34.910957,boa viagem
89818065923ffff,-8.149248513600307,-34.91254137888946,boa viagem
89818065923ffff,-8.148850276421959,-34.912461815500045,boa viagem
89818065923ffff,-8.148671737458644,-34.913146550801486,boa viagem
89818065923ffff,-8.148913779788028,-34.91269136286268,boa viagem
89818065923ffff,-8.149199733204393,-34.91289434939745,boa viagem
89818065923ffff,-8.149105320946857,-34.91319133727697,boa viagem
89818065923ffff,-8.149023807879113,-34.912944799035024,boa viagem
89818065923ffff,-8.14916818388615,-34.91262330683185,boa viagem
89818065923ffff,-8.149434062147673,-34.912807420042114,boa viagem
89818065923ffff,-8.149455091849983,-34.91298659546507,boa viagem
89818065923ffff,-8.149474742430138,-34.91287707470085,boa viagem
8981806592fffff,-8.146698037002976,-34.91310341523689,boa viagem
8981806592fffff,-8.146246992227887,-34.913916635213134,boa viagem
8981806592fffff,-8.146026818781042,-34.91368531049754,boa viagem
8981806592fffff,-8.1478203,-34.9117083,boa viagem
89818065933ffff,-8.1519161,-34.9124173,boa viagem
8981806593bffff,-8.15026577748475,-34.909905171077746,boa viagem
8981806593bffff,-8.1501244,-34.9104169,boa viagem
8981806593bffff,-8.1508513,-34.9084569,boa viagem
8981806593bffff,-8.150107396440514,-34.9092540279569,boa viagem
8981806593bffff,-8.150202830245089,-34.90922419380389,boa viagem
8981806593bffff,-8.150675603258547,-34.90894993976866,boa viagem
8981806593bffff,-8.150767160721598,-34.90930001873096,boa viagem
8981806593bffff,-8.150404149090253,-34.9091286569835,boa viagem
89818065967ffff,-8.146567028947368,-34.90645417368421,boa viagem
89818065967ffff,-8.1450534,-34.9063605,boa viagem
89818065967ffff,-8.146249,-34.9060395,boa viagem
89818065967ffff,-8.1470047,-34.9064843,boa viagem
89818065967ffff,-8.1455454,-34.9076582,boa viagem
89818065967ffff,-8.1472182,-34.9064849,boa viagem
89818065967ffff,-8.1482018,-34.9068647,boa viagem
89818065967ffff,-8.1464081,-34.9061177,boa viagem
89818065967ffff,-8.1474083,-34.9067149,boa viagem
89818065967ffff,-8.1456051,-34.9061209,boa viagem
89818065967ffff,-8.1457167,-34.9066739,boa viagem
89818065967ffff,-8.1461997,-34.9063633,boa viagem
89818065967ffff,-8.1450238,-34.9073132,boa viagem
89818065967ffff,-8.1480938,-34.9068173,boa viagem
89818065967ffff,-8.1467467,-34.906272,boa viagem
8981806596fffff,-8.143926616666667,-34.90483858333334,boa viagem
8981806596fffff,-8.1436704,-34.9047115,boa viagem
8981806596fffff,-8.1440876,-34.9049171,boa viagem
8981806596fffff,-8.1446808,-34.9052194,boa viagem
8981806596fffff,-8.1433629,-34.9045549,boa viagem
89818065977ffff,-8.148902485714286,-34.90722581428572,boa viagem
89818065977ffff,-8.1487512,-34.9073585,boa viagem
89818065977ffff,-8.1484494,-34.9070513,boa viagem
89818065977ffff,-8.1497386,-34.9074887,boa viagem
89818065977ffff,-8.1493637,-34.9073392,boa viagem
