h3_cell,num_sinistros,year,month
898180208d3ffff,0.0,2015,6
898180208d3ffff,0.0,2015,7
898180208d3ffff,0.0,2015,8
898180208d3ffff,0.0,2015,9
898180208d3ffff,0.0,2015,10
898180208d3ffff,0.0,2015,11
898180208d3ffff,0.0,2015,12
898180208d3ffff,0.0,2016,1
898180208d3ffff,0.0,2016,2
898180208d3ffff,0.0,2016,3
898180208d3ffff,0.0,2016,4
898180208d3ffff,0.0,2016,5
898180208d3ffff,0.0,2016,6
898180208d3ffff,0.0,2016,7
898180208d3ffff,0.0,2016,8
898180208d3ffff,0.0,2016,9
898180208d3ffff,0.0,2016,10
898180208d3ffff,0.0,2016,11
898180208d3ffff,0.0,2016,12
898180208d3ffff,0.0,2017,1
898180208d3ffff,0.0,2017,2
898180208d3ffff,0.0,2017,3
898180208d3ffff,0.0,2017,4
898180208d3ffff,0.0,2017,5
898180208d3ffff,0.0,2017,6
898180208d3ffff,0.0,2017,7
898180208d3ffff,0.0,2017,8
898180208d3ffff,0.0,2017,9
898180208d3ffff,0.0,2017,10
898180208d3ffff,0.0,2017,11
898180208d3ffff,0.0,2017,12
898180208d3ffff,0.0,2018,1
898180208d3ffff,0.0,2018,2
898180208d3ffff,0.0,2018,3
898180208d3ffff,0.0,2018,4
898180208d3ffff,0.0,2018,5
898180208d3ffff,0.0,2018,6
898180208d3ffff,0.0,2018,7
898180208d3ffff,0.0,2018,8
898180208d3ffff,0.0,2018,9
898180208d3ffff,0.0,2018,10
898180208d3ffff,0.0,2018,11
898180208d3ffff,1.0,2018,12
898180208d3ffff,0.0,2019,1
898180208d3ffff,0.0,2019,2
898180208d3ffff,0.0,2019,3
898180208d3ffff,0.0,2019,4
898180208d3ffff,0.0,2019,5
898180208d3ffff,0.0,2019,6
898180208d3ffff,0.0,2019,7
898180208d3ffff,0.0,2019,8
898180208d3ffff,0.0,2019,9
898180208d3ffff,0.0,2019,10
898180208d3ffff,0.0,2019,11
898180208d3ffff,0.0,2019,12
898180208d3ffff,0.0,2021,12
898180208d3ffff,0.0,2022,1
898180208d3ffff,0.0,2022,2
898180208d3ffff,0.0,2022,3
898180208d3ffff,0.0,2022,4
898180208d3ffff,0.0,2022,5
898180208d3ffff,0.0,2022,6
898180208d3ffff,0.0,2022,7
898180208d3ffff,0.0,2022,8
898180208d3ffff,0.0,2022,9
898180208d3ffff,0.0,2022,10
898180208d3ffff,0.0,2022,11
898180208d3ffff,0.0,2022,12
898180208d3ffff,0.0,2023,1
898180208d3ffff,0.0,2023,2
898180208d3ffff,0.0,2023,3
898180208d3ffff,0.0,2023,4
898180208d3ffff,0.0,2023,5
898180208d3ffff,0.0,2023,6
898180208d3ffff,0.0,2023,7
898180208d3ffff,0.0,2023,8
898180208d3ffff,0.0,2023,9
898180208d3ffff,0.0,2023,10
898180208d3ffff,0.0,2023,11
898180208d3ffff,0.0,2023,12
898180208d3ffff,0.0,2024,1
